Twitter URLs,Twitter IDs,Full Text
https://twitter.com/___Swank__/status/902893762501890048,902893762501890048,-
https://twitter.com/__MissAsia__/status/902224207316000768,902224207316000768,If you can helo please do and make sure to retweet or copy and share just get the message out #HurricaneHarvey #TexasFlood #Houston #Help https://t.co/h81hyJk3DC
https://twitter.com/__xsamonee/status/902922961098768384,902922961098768384,-
https://twitter.com/_Arionne_/status/902256639578923009,902256639578923009,Can Yall Help her out please #FEMA #HoustonFlood  #prayersforhouston https://t.co/DPQdBxmHzH
https://twitter.com/_idontcaroline_/status/901885990452817921,901885990452817921,-
https://twitter.com/_isthattaylor_/status/901951941965737988,901951941965737988,Dm me if you can help my friend!!! #houstonflood #HurricaneHarvey #houston https://t.co/alQVNL4nAx
https://twitter.com/_nikatooreal/status/902056005827268608,902056005827268608,Lplease my family needs help they're standing on the northeast side of Houston. The water was to my waist when I left idk about now. #Share https://t.co/aEOWo7QTGJ
https://twitter.com/_Orpheezy/status/902222955589103617,902222955589103617,#rescueneeded #Houston #HurricaneHarvey #SOSHarvey https://t.co/6y0LCJBILL
https://twitter.com/_Realbrandimack/status/901893789308116993,901893789308116993,"My grandmother , Great aunt, cousins are stuck in Lakewood on woodlyn need help! Send boats now. @KHOU @KPRC2 @Beyonce @somebody!!!!"
https://twitter.com/_SJohnson20/status/902240759134523393,902240759134523393,"Somebody came and rescued them, they are safe now thank y'all for everything!"
https://twitter.com/_SusanCarroll/status/902572494137253889,902572494137253889,Creekwood Middle School in Kingwood needs insulin. 3603 W Lake Houston Pkwy #Houstonflood
https://twitter.com/02julioo/status/902260362292154368,902260362292154368,"@RescueQueue need help at 3826 Lake Edinburg Ln Richmond, TX 77406"
https://twitter.com/04soldier/status/902085307171995653,902085307171995653,@HarveyRescue @HarveyRelief Herman Jones 550 Normandy Rd #1620 5 people stuck  including a 1 month old in a apt with chest high water. Please send help..
https://twitter.com/11thHourAuthor/status/902886290898771971,902886290898771971,"New SOS!  2317 17th St. Port Arthur, TX  1 adult 3 children (5 months, 2 yrs, 5 yrs.) @susie_texas"
https://twitter.com/12milkshake/status/902346615867940864,902346615867940864,@violue @6abcadamjoseph 3 cline way Missouri city s.w of Houston.
https://twitter.com/1pip2win/status/902889869579620352,902889869579620352,"#HarveySOS #Harvey911420 welford Ave, Port Arthur, Texas 77640 4095438820Elderly p needs to be rescued asap #PortArthur #HurricaneHarvey https://t.co/tHtVv9IQUI"
